01,Juan Lebrón,17.835
01,Alejandro Galán,17.835
03,Agustín Tapia,12.270
04,Arturo  Coello,10.830
05,Carlos Daniel Gutiérrez,10.630
06,Fernando Belasteguín,9.190
07,Martín Di Nenno,8.725
08,Francisco Navarro,8.320
09,Franco Stupaczuk,7.960
10,Pablo Lima,7.230
