Counter-Strike:GlobalOffensive,"709,406"
Dota2,"622,523"
PlayerUnknown’sBattlegrounds,"297,619"
ApexLegends,"293,340"
LostArk,"199,918"
Naraka:Bladepoint,"115,381"
GrandTheftAutoV,"115,248"
TeamFortress2,"98,706"
Rust,"75,197"
Warhammer:Vermintide2,"69,853"
